win,g1_pt_dif,g2_pt_dif,g1_int_pt_dif,g2_int_pt_dif,g3_int_pt_dif,g1_mst_con_pts,g2_mst_con_pts,g3_mst_con_pts
0,0.0958904109589041,0.11643835616438356,0.22222222222222224,0.3333333333333333,0.0,0.125,0.16666666666666666,0.0
0,0.1095890410958904,0.3707191780821918,0.22222222222222224,0.6666666666666666,0.0,0.125,0.1111111111111111,0.0
0,0.12391033623910336,0.1232876712328767,0.25,0.22222222222222224,0.22222222222222224,0.1875,0.16666666666666666,0.1764705882352941
0,0.1095890410958904,0.1095890410958904,0.25,0.1652892561983471,0.1652892561983471,0.25,0.2222222222222222,0.23529411764705882
0,0.10273972602739725,0.0958904109589041,0.22222222222222224,0.22222222222222224,0.0,0.1875,0.2222222222222222,0.0
1,0.4965753424657534,0.11643835616438356,0.01652892561983471,0.1652892561983471,0.2857142857142857,0.4375,0.16666666666666666,0.1764705882352941
0,0.07534246575342465,0.3287671232876712,1.0,0.4,0.0,0.0625,0.1111111111111111,0.0
1,0.0958904109589041,0.0958904109589041,0.22222222222222224,0.4,0.5,0.1875,0.3333333333333333,0.29411764705882354
1,0.08904109589041095,0.0958904109589041,0.2857142857142857,0.2857142857142857,0.0,0.375,0.3333333333333333,0.0
0,0.1232876712328767,0.06164383561643835,0.1652892561983471,0.2857142857142857,0.0,0.1875,0.16666666666666666,0.0
0,0.08904109589041095,0.1095890410958904,0.22222222222222224,0.4,0.0,0.0625,0.16666666666666666,0.0
0,0.0684931506849315,0.0684931506849315,0.3333333333333333,0.3333333333333333,0.5,0.3125,0.2222222222222222,0.11764705882352941
0,0.10273972602739725,0.0821917808219178,0.4,0.2857142857142857,0.5,0.25,0.2777777777777778,0.1764705882352941
0,0.12391033623910336,0.0821917808219178,0.22222222222222224,0.3333333333333333,0.0,0.125,0.16666666666666666,0.0
1,0.11643835616438356,0.1232876712328767,0.2857142857142857,0.25,0.0,0.25,0.2222222222222222,0.0
0,0.0684931506849315,0.125,0.3333333333333333,0.25,0.0,0.125,0.2222222222222222,0.0
0,0.07534246575342465,0.11643835616438356,0.4,0.25,0.0,0.0625,0.16666666666666666,0.0
1,0.0684931506849315,0.08904109589041095,0.6666666666666666,0.2857142857142857,0.0,0.375,0.5,0.0
0,0.07534246575342465,0.0958904109589041,0.5,0.25,0.4,0.1875,0.3333333333333333,0.11764705882352941
0,0.0958904109589041,0.0821917808219178,0.3333333333333333,0.25,0.0,0.25,0.1111111111111111,0.0
1,0.12391033623910336,0.10273972602739725,0.1652892561983471,0.1652892561983471,0.2857142857142857,0.1875,0.4444444444444444,0.23529411764705882
1,0.1095890410958904,0.0958904109589041,0.25,0.4,0.0,0.125,0.2222222222222222,0.0
0,0.06164383561643835,0.0684931506849315,0.25,0.25,0.6666666666666666,0.125,0.2777777777777778,0.1764705882352941
0,0.0958904109589041,0.0684931506849315,0.2857142857142857,0.1652892561983471,0.0,0.3125,0.16666666666666666,0.0
0,0.3707191780821918,0.07534246575342465,0.4,0.22222222222222224,0.0,0.125,0.16666666666666666,0.0
0,0.10273972602739725,0.11643835616438356,0.3333333333333333,0.25,0.25,0.1875,0.16666666666666666,0.1764705882352941
1,0.08904109589041095,0.1232876712328767,0.2857142857142857,0.1652892561983471,0.0,0.1875,0.16666666666666666,0.0
1,0.1232876712328767,0.11643835616438356,0.1652892561983471,0.5,0.4,0.125,0.3333333333333333,0.29411764705882354
1,0.07534246575342465,0.0684931506849315,0.6666666666666666,0.2857142857142857,0.0,0.3125,0.38888888888888884,0.0
1,0.11643835616438356,0.08904109589041095,0.4,0.6666666666666666,1.0,0.125,0.2777777777777778,0.3529411764705882
0,0.0821917808219178,0.0821917808219178,0.25,0.2857142857142857,0.0,0.1875,0.16666666666666666,0.0
1,0.10273972602739725,0.125,0.3333333333333333,0.6666666666666666,0.25,0.125,0.2222222222222222,0.1764705882352941
0,0.08904109589041095,0.08904109589041095,0.3333333333333333,0.3333333333333333,0.0,0.125,0.16666666666666666,0.0
0,0.42465753424657526,0.1232876712328767,0.6666666666666666,0.3333333333333333,0.1652892561983471,0.25,0.16666666666666666,0.23529411764705882
1,0.1095890410958904,0.1232876712328767,0.6666666666666666,0.3333333333333333,0.1652892561983471,0.25,0.2222222222222222,0.23529411764705882
1,0.1232876712328767,0.08904109589041095,0.25,1.0,0.3333333333333333,0.25,0.2777777777777778,0.1764705882352941
1,0.1095890410958904,0.3707191780821918,1.0,0.5,0.0,0.3125,0.2777777777777778,0.0
0,0.0821917808219178,0.0958904109589041,0.2857142857142857,0.25,0.0,0.125,0.16666666666666666,0.0
0,0.07534246575342465,0.12391033623910336,0.4,0.25,0.0,0.0625,0.4444444444444444,0.0
1,0.0958904109589041,0.1232876712328767,0.25,0.22222222222222224,0.4,0.25,0.16666666666666666,0.29411764705882354
0,0.11643835616438356,0.1232876712328767,0.25,0.3333333333333333,0.22222222222222224,0.25,0.3333333333333333,0.23529411764705882
1,0.1232876712328767,0.10273972602739725,0.2857142857142857,0.2857142857142857,0.0,0.1875,0.2222222222222222,0.0
1,0.11643835616438356,0.1095890410958904,0.1652892561983471,0.1652892561983471,0.0,0.125,0.2777777777777778,0.0
0,0.08904109589041095,0.1232876712328767,0.25,0.3333333333333333,0.0,0.0625,0.3333333333333333,0.0
1,0.0958904109589041,0.0684931506849315,0.22222222222222224,0.25,0.0,0.25,0.2777777777777778,0.0
1,0.0821917808219178,0.12447885646217985,0.22222222222222224,0.22222222222222224,0.3333333333333333,0.375,0.2222222222222222,0.23529411764705882
1,0.10273972602739725,0.3707191780821918,0.1652892561983471,0.5,0.4,0.375,0.1111111111111111,0.4117647058823529
0,0.08904109589041095,0.10273972602739725,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.1875,0.2777777777777778,0.23529411764705882
1,0.0958904109589041,0.11643835616438356,0.1652892561983471,0.4,0.25,0.3125,0.16666666666666666,0.3529411764705882
1,0.3287671232876712,0.12447885646217985,0.6666666666666666,0.22222222222222224,0.0,0.3125,0.2222222222222222,0.0
1,0.12391033623910336,0.08904109589041095,0.3333333333333333,0.1652892561983471,0.0,0.3125,0.4444444444444444,0.0
1,0.0684931506849315,0.1095890410958904,0.3333333333333333,0.22222222222222224,0.1652892561983471,0.3125,0.2222222222222222,0.29411764705882354
0,0.1095890410958904,0.06164383561643835,0.1652892561983471,0.1652892561983471,0.3333333333333333,0.1875,0.1111111111111111,0.3529411764705882
